B_total_water-supply,B_CO2_mean,B_length_diff
7533.0,462.142,2.549
3040.0,473.903,7.2
2573.0,518.8290000000001,1.8
3461.0,549.493,3.3
2317.0,568.283,-5.2
5069.0,521.872,5.7
3784.0,508.686,-1.9
3971.0,482.89099999999996,-1.5
2188.0,454.81,-4.1
2844.0,476.066,-5.6
2764.0,491.056,5.3
2710.0,500.75300000000004,-0.4
2490.0,508.39300000000003,0.8
5378.0,509.164,-2.8
1972.0,543.895,-1.2
1995.0,518.367,-2.1
1994.0,477.289,-1.1
2972.0,517.364,-0.1
2209.0,516.154,-2.1
2556.5,521.161,0.0
1899.0,499.61,-1.6
2859.0,495.796,2.8
4591.0,513.664,1.2
3287.0,523.885,-1.3
4860.0,487.009,1.7
2866.0,472.103,0.4
5348.0,473.17699999999996,-0.7
4272.0,471.167,0.2
6828.0,470.342,1.0
3953.0,480.48900000000003,0.6
10085.0,474.25699999999995,-3.5
5160.0,467.142,1.7
5894.0,431.76599999999996,-1.0
5213.0,425.39099999999996,-0.4
4275.0,393.089,2.5
4269.0,343.413,-3.7
4512.0,327.009,0.9
4554.0,325.789,-0.8
